,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
150,(-0.0019165799021720886+3.184378147125244e-05j),(-0.001918300986289978+3.5025179386138916e-05j),(-0.001904413104057312+3.113597631454468e-05j),(-0.0019078552722930908+4.228949546813965e-05j),(-0.001907534897327423+3.254413604736328e-05j),(-0.0019042864441871643+4.579126834869385e-05j),(-0.0019037798047065735+4.0821731090545654e-05j),(-0.0019093230366706848+4.667788743972778e-05j),(-0.001902759075164795+3.7766993045806885e-05j),(-0.0019131451845169067+3.8780272006988525e-05j),(-0.0019039064645767212+3.834068775177002e-05j),(-0.0019138455390930176+3.3818185329437256e-05j),(-0.001913905143737793+2.9355287551879883e-05j),(-0.0019316747784614563+1.76355242729187e-05j),(-0.00193052738904953+1.0311603546142578e-05j),(-0.001928873360157013+1.827627420425415e-05j),(-0.0019244179129600525+1.5854835510253906e-05j),(-0.0019228234887123108+2.317875623703003e-05j),(-0.0019122511148452759+3.2670795917510986e-05j),(-0.0019133314490318298+2.11372971534729e-05j),(-0.00193033367395401+1.7508864402770996e-05j),(-0.0019154995679855347+3.0502676963806152e-05j),(-0.0019140318036079407+2.8207898139953613e-05j),(-0.0019147396087646484+3.062933683395386e-05j),(-0.001911550760269165+3.0376017093658447e-05j),(-0.0019138455390930176+3.082305192947388e-05j),(-0.001916453242301941+2.6300549507141113e-05j),(-0.0019181743264198303+2.6173889636993408e-05j),(-0.0019344165921211243+2.197176218032837e-05j),(-0.0019237101078033447+2.3111701011657715e-05j),(-0.0019141659140586853+3.062933683395386e-05j)
151,(-0.0018964558839797974+4.699826240539551e-05j),(-0.0019070282578468323+3.5919249057769775e-05j),(-0.0019120573997497559+2.7127563953399658e-05j),(-0.0018999576568603516+3.5218894481658936e-05j),(-0.0018890053033828735+3.4578144550323486e-05j),(-0.0018983036279678345+4.565715789794922e-05j),(-0.0018925666809082031+4.986673593521118e-05j),(-0.0019146054983139038+3.489851951599121e-05j),(-0.0019069015979766846+3.5472214221954346e-05j),(-0.0019032731652259827+3.6172568798065186e-05j),(-0.0019063279032707214+3.7766993045806885e-05j),(-0.0019052475690841675+4.0628015995025635e-05j),(-0.0019067749381065369+4.356354475021362e-05j),(-0.0019011721014976501+4.16487455368042e-05j),(-0.0018972158432006836+5.776435136795044e-05j),(-0.001920849084854126+2.8848648071289062e-05j),(-0.0019070282578468323+2.7827918529510498e-05j),(-0.001914292573928833+2.317875623703003e-05j),(-0.0019156262278556824+2.337247133255005e-05j),(-0.0019220560789108276+3.127008676528931e-05j),(-0.0019114241003990173+3.3371150493621826e-05j),(-0.0019125714898109436+3.2924115657806396e-05j),(-0.0019065216183662415+2.9295682907104492e-05j),(-0.0019176676869392395+2.7060508728027344e-05j),(-0.0019202083349227905+2.8081238269805908e-05j),(-0.0019240975379943848+3.0435621738433838e-05j),(-0.0019086822867393494+3.97413969039917e-05j),(-0.00192192941904068+2.298504114151001e-05j),(-0.0019198954105377197+2.6620924472808838e-05j),(-0.0019135251641273499+3.0182301998138428e-05j),(-0.001910977065563202+3.8273632526397705e-05j)
152,(-0.0018884912133216858+5.6356191635131836e-05j),(-0.0018848627805709839+6.432086229324341e-05j),(-0.0018870308995246887+4.629790782928467e-05j),(-0.0019033998250961304+3.604590892791748e-05j),(-0.0018995106220245361+5.2347779273986816e-05j),(-0.0018944144248962402+4.617124795913696e-05j),(-0.001896202564239502+5.272775888442993e-05j),(-0.0018934011459350586+5.311518907546997e-05j),(-0.001896582543849945+4.6230852603912354e-05j),(-0.0019015520811080933+3.508478403091431e-05j),(-0.0019025728106498718+3.5725533962249756e-05j),(-0.0018925666809082031+5.496293306350708e-05j),(-0.001901678740978241+4.801899194717407e-05j),(-0.0019049271941184998+4.024803638458252e-05j),(-0.001904420554637909+3.5665929317474365e-05j),(-0.001909703016281128+3.215670585632324e-05j),(-0.0018970891833305359+3.954768180847168e-05j),(-0.0018866509199142456+5.362182855606079e-05j),(-0.0018941015005111694+4.655122756958008e-05j),(-0.0018914863467216492+4.477053880691528e-05j),(-0.0019030123949050903+3.203004598617554e-05j),(-0.0019099563360214233+2.8908252716064453e-05j),(-0.001895114779472351+4.935264587402344e-05j),(-0.0019070953130722046+3.604590892791748e-05j),(-0.001900210976600647+3.540515899658203e-05j),(-0.001904226839542389+3.3818185329437256e-05j),(-0.0019019991159439087+4.285573959350586e-05j),(-0.0018944144248962402+4.801899194717407e-05j),(-0.0019010379910469055+4.801899194717407e-05j),(-0.00190715491771698+3.540515899658203e-05j),(-0.0018997043371200562+3.9480626583099365e-05j)
153,(-0.0019114241003990173+3.184378147125244e-05j),(-0.001921042799949646+2.9355287551879883e-05j),(-0.0019231438636779785+2.553313970565796e-05j),(-0.0019077956676483154+2.7321279048919678e-05j),(-0.0019267722964286804+2.502650022506714e-05j),(-0.0019172802567481995+2.8081238269805908e-05j),(-0.0019107833504676819+3.3818185329437256e-05j),(-0.0019123181700706482+2.9422342777252197e-05j),(-0.0019068345427513123+3.4771859645843506e-05j),(-0.0019123181700706482+3.1970441341400146e-05j),(-0.0019161999225616455+2.7507543563842773e-05j),(-0.001912444829940796+2.4452805519104004e-05j),(-0.0019104033708572388+3.298372030258179e-05j),(-0.001902058720588684+3.9421021938323975e-05j),(-0.0019084960222244263+2.9034912586212158e-05j),(-0.001902952790260315+4.451721906661987e-05j),(-0.001897856593132019+3.7379562854766846e-05j),(-0.0019118040800094604+3.6232173442840576e-05j),(-0.0019044801592826843+3.6172568798065186e-05j),(-0.0018983632326126099+5.21540641784668e-05j),(-0.0019009783864021301+3.7379562854766846e-05j),(-0.0019127577543258667+2.317875623703003e-05j),(-0.0018948018550872803+4.094839096069336e-05j),(-0.0018943548202514648+3.7632882595062256e-05j),(-0.0019176006317138672+3.6232173442840576e-05j),(-0.0019080489873886108+3.3117830753326416e-05j),(-0.0018984302878379822+4.470348358154297e-05j),(-0.0019048601388931274+3.9868056774139404e-05j),(-0.001918494701385498+3.0182301998138428e-05j),(-0.0018960759043693542+4.35560941696167e-05j),(-0.0019046738743782043+5.2094459533691406e-05j)
154,(-0.0019066482782363892+3.8780272006988525e-05j),(-0.0019156262278556824+2.337247133255005e-05j),(-0.0019186213612556458+3.1970441341400146e-05j),(-0.001903332769870758+4.693120718002319e-05j),(-0.001910276710987091+3.215670585632324e-05j),(-0.0019112303853034973+3.3877789974212646e-05j),(-0.0019160062074661255+2.4899840354919434e-05j),(-0.0019221827387809753+2.018362283706665e-05j),(-0.0019176006317138672+2.018362283706665e-05j),(-0.0019121244549751282+3.565847873687744e-05j),(-0.0019169002771377563+2.2098422050476074e-05j),(-0.001910470426082611+2.7447938919067383e-05j),(-0.0019188746809959412+2.508610486984253e-05j),(-0.0019114911556243896+2.8274953365325928e-05j),(-0.0019133985042572021+3.260374069213867e-05j),(-0.001909703016281128+2.7574598789215088e-05j),(-0.0019203424453735352+2.08243727684021e-05j),(-0.0019207820296287537+2.2411346435546875e-05j),(-0.0019045472145080566+2.4899840354919434e-05j),(-0.0019152462482452393+2.5346875190734863e-05j),(-0.001908235251903534+3.439188003540039e-05j),(-0.0019038468599319458+3.30507755279541e-05j),(-0.0019076019525527954+3.604590892791748e-05j),(-0.0019135847687721252+3.120303153991699e-05j),(-0.0019057542085647583+2.598017454147339e-05j),(-0.001909703016281128+3.65525484085083e-05j),(-0.0019076019525527954+2.483278512954712e-05j),(-0.0019077286124229431+3.170967102050781e-05j),(-0.0019147321581840515+2.2158026695251465e-05j),(-0.0019227564334869385+1.7762184143066406e-05j),(-0.0019239038228988647+1.872330904006958e-05j)
155,(-0.001903526484966278+3.509223461151123e-05j),(-0.0019035860896110535+3.413110971450806e-05j),(-0.0019249245524406433+1.5154480934143066e-05j),(-0.0019119307398796082+3.3117830753326416e-05j),(-0.001910977065563202+3.069639205932617e-05j),(-0.001911550760269165+3.3624470233917236e-05j),(-0.001904420554637909+3.082305192947388e-05j),(-0.0019042864441871643+3.209710121154785e-05j),(-0.0019093826413154602+2.62334942817688e-05j),(-0.0019126981496810913+3.11434268951416e-05j),(-0.0019184276461601257+2.133101224899292e-05j),(-0.0019247308373451233+2.27317214012146e-05j),(-0.0019229501485824585+2.368539571762085e-05j),(-0.0019083023071289062+2.3812055587768555e-05j),(-0.0019209086894989014+1.738220453262329e-05j),(-0.0019093230366706848+3.7826597690582275e-05j),(-0.0019178539514541626+2.3946166038513184e-05j),(-0.0019172802567481995+1.4454126358032227e-05j),(-0.0019310414791107178+1.3947486877441406e-05j),(-0.0019125044345855713+1.8149614334106445e-05j),(-0.0019218027591705322+1.0378658771514893e-05j),(-0.0019227564334869385+1.738220453262329e-05j),(-0.001905694603919983+3.247708082199097e-05j),(-0.0019042864441871643+3.228336572647095e-05j),(-0.001919575035572052+3.14563512802124e-05j),(-0.0019295066595077515+1.8909573554992676e-05j),(-0.0019221231341362+1.9162893295288086e-05j),(-0.0019223764538764954+2.8848648071289062e-05j),(-0.001907534897327423+3.120303153991699e-05j),(-0.0019063949584960938+2.8654932975769043e-05j),(-0.0019034594297409058+3.65525484085083e-05j)
156,(-0.0019146054983139038+3.4578144550323486e-05j),(-0.001913905143737793+2.3245811462402344e-05j),(-0.001906268298625946+3.330409526824951e-05j),(-0.001920849084854126+9.551644325256348e-06j),(-0.0019398927688598633+3.948807716369629e-06j),(-0.0019271522760391235+3.7550926208496094e-06j),(-0.0019041597843170166+3.4324824810028076e-05j),(-0.0019019320607185364+3.7066638469696045e-05j),(-0.001912824809551239+3.235042095184326e-05j),(-0.0019053742289543152+3.5785138607025146e-05j),(-0.0019006580114364624+3.158301115036011e-05j),(-0.001890026032924652+4.311650991439819e-05j),(-0.0018992573022842407+3.254413604736328e-05j),(-0.0019118711352348328+3.9227306842803955e-05j),(-0.0019202083349227905+2.763420343399048e-05j),(-0.0019024387001991272+3.107637166976929e-05j),(-0.0019039735198020935+2.8021633625030518e-05j),(-0.0019135847687721252+2.228468656539917e-05j),(-0.0019011050462722778+3.8526952266693115e-05j),(-0.0019019991159439087+2.7507543563842773e-05j),(-0.0019074752926826477+2.9735267162322998e-05j),(-0.0019057542085647583+2.9295682907104492e-05j),(-0.0018977895379066467+3.6425888538360596e-05j),(-0.0019050538539886475+3.190338611602783e-05j),(-0.0019097700715065002+1.8909573554992676e-05j),(-0.0019091293215751648+2.693384885787964e-05j),(-0.0019054338335990906+3.7126243114471436e-05j),(-0.001898936927318573+3.190338611602783e-05j),(-0.0019173473119735718+1.92299485206604e-05j),(-0.001905880868434906+2.572685480117798e-05j),(-0.001904800534248352+4.445016384124756e-05j)
157,(-0.0019053742289543152+2.9422342777252197e-05j),(-0.0018848031759262085+4.579126834869385e-05j),(-0.0018884912133216858+3.369152545928955e-05j),(-0.0018895789980888367+3.8914382457733154e-05j),(-0.0018893182277679443+3.165006637573242e-05j),(-0.0018981769680976868+2.6047229766845703e-05j),(-0.0019151195883750916+1.648813486099243e-05j),(-0.001891300082206726+3.075599670410156e-05j),(-0.0018870905041694641+3.413110971450806e-05j),(-0.0019091963768005371+2.43261456489563e-05j),(-0.0018922537565231323+3.649294376373291e-05j),(-0.001896008849143982+3.4324824810028076e-05j),(-0.001896008849143982+3.649294376373291e-05j),(-0.001885056495666504+4.0315091609954834e-05j),(-0.0018901526927947998+4.439055919647217e-05j),(-0.0018777921795845032+4.751235246658325e-05j),(-0.0018833354115486145+4.719197750091553e-05j),(-0.001888364553451538+4.521757364273071e-05j),(-0.0018891915678977966+4.623830318450928e-05j),(-0.0018844157457351685+5.687028169631958e-05j),(-0.0019079223275184631+2.7760863304138184e-05j),(-0.0018870308995246887+3.769993782043457e-05j),(-0.0018844828009605408+3.97413969039917e-05j),(-0.0018830150365829468+5.285441875457764e-05j),(-0.0019064545631408691+4.1328370571136475e-05j),(-0.0018908530473709106+4.534423351287842e-05j),(-0.0018884912133216858+4.922598600387573e-05j),(-0.0018946081399917603+4.330277442932129e-05j),(-0.0018967092037200928+5.19677996635437e-05j),(-0.0019042864441871643+3.438442945480347e-05j),(-0.0019079819321632385+3.509223461151123e-05j)
158,(-0.0018941015005111694+4.661828279495239e-05j),(-0.0018974095582962036+2.718716859817505e-05j),(-0.001884356141090393+3.127008676528931e-05j),(-0.0018783658742904663+2.203136682510376e-05j),(-0.0018859505653381348+8.277595043182373e-06j),(-0.0018857568502426147+1.617521047592163e-05j),(-0.0018816813826560974+3.273040056228638e-05j),(-0.0018744170665740967+2.2858381271362305e-05j),(-0.0018937811255455017+1.2546777725219727e-05j),(-0.0018914267420768738+1.1973083019256592e-05j),(-0.0018994510173797607+1.757591962814331e-05j),(-0.0018837153911590576+2.648681402206421e-05j),(-0.0018820613622665405+2.2858381271362305e-05j),(-0.001873403787612915+2.5153160095214844e-05j),(-0.0018901526927947998+1.2733042240142822e-05j),(-0.0018776655197143555+2.337247133255005e-05j),(-0.001887984573841095+2.8401613235473633e-05j),(-0.0018964558839797974+3.235042095184326e-05j),(-0.0019028261303901672+3.228336572647095e-05j),(-0.0019135251641273499+1.92299485206604e-05j),(-0.0019165202975273132+2.5853514671325684e-05j),(-0.0019043534994125366+2.9928982257843018e-05j),(-0.0019120573997497559+2.6613473892211914e-05j),(-0.001909703016281128+3.082305192947388e-05j),(-0.001902058720588684+2.9101967811584473e-05j),(-0.00190696120262146+3.5978853702545166e-05j),(-0.001896008849143982+3.7573277950286865e-05j),(-0.0019074082374572754+3.6366283893585205e-05j),(-0.0019074752926826477+3.285706043243408e-05j),(-0.0018986836075782776+3.8273632526397705e-05j),(-0.0019055679440498352+3.190338611602783e-05j)
159,(-0.001914292573928833+2.5212764739990234e-05j),(-0.0019184276461601257+1.4260411262512207e-05j),(-0.0019055008888244629+2.034008502960205e-06j),(-0.0018939077854156494+2.5331974029541016e-07j),(-0.001884162425994873-1.0319054126739502e-05j),(-0.001885056495666504-3.3155083656311035e-06j),(-0.0018897056579589844-1.9371509552001953e-07j),(-0.0018930807709693909-2.9355287551879883e-06j),(-0.0018895119428634644+1.2606382369995117e-05j),(-0.0018888786435127258+6.429851055145264e-06j),(-0.0018886849284172058+6.0498714447021484e-06j),(-0.0018866509199142456+5.066394805908203e-07j),(-0.0018864572048187256+9.037554264068604e-06j),(-0.0018743574619293213+4.202127456665039e-06j),(-0.0018751248717308044+8.270144462585449e-07j),(-0.0018887519836425781+4.202127456665039e-06j),(-0.0018806606531143188+3.0182301998138428e-05j),(-0.0019242241978645325+1.8402934074401855e-05j),(-0.0019055008888244629+3.094971179962158e-05j),(-0.00190715491771698+3.4071505069732666e-05j),(-0.001918300986289978+2.5153160095214844e-05j),(-0.001907534897327423+2.8654932975769043e-05j),(-0.0019176602363586426+1.4960765838623047e-05j),(-0.0019058212637901306+2.8654932975769043e-05j),(-0.0019146054983139038+2.298504114151001e-05j),(-0.0019121915102005005+2.7060508728027344e-05j),(-0.001903146505355835+2.477318048477173e-05j),(-0.0018982365727424622+4.069507122039795e-05j),(-0.001900598406791687+3.400444984436035e-05j),(-0.0019017457962036133+3.355741500854492e-05j),(-0.0018928870558738708+3.285706043243408e-05j)
