,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
150,(-0.0019089430570602417+2.247840166091919e-05j),(-0.0018939077854156494+3.285706043243408e-05j),(-0.001915179193019867+6.236135959625244e-06j),(-0.0019005313515663147+2.0697712898254395e-05j),(-0.001898936927318573+2.693384885787964e-05j),(-0.0018955022096633911+3.46451997756958e-05j),(-0.001903332769870758+1.9863247871398926e-05j),(-0.001895308494567871+3.5218894481658936e-05j),(-0.0018919333815574646+3.0249357223510742e-05j),(-0.0019053742289543152+1.4647841453552246e-05j),(-0.0018954351544380188+3.158301115036011e-05j),(-0.0018917396664619446+2.9608607292175293e-05j),(-0.0018935874104499817+2.7507543563842773e-05j),(-0.001897476613521576+3.2924115657806396e-05j),(-0.0019003376364707947+2.598017454147339e-05j),(-0.001898936927318573+1.7002224922180176e-05j),(-0.0019068345427513123+1.687556505203247e-05j),(-0.0018811076879501343+3.062933683395386e-05j),(-0.0019030794501304626+2.3499131202697754e-05j),(-0.001895815134048462+3.349781036376953e-05j),(-0.0019122511148452759+8.150935173034668e-06j),(-0.0018995776772499084+2.8595328330993652e-05j),(-0.0018872842192649841+2.7060508728027344e-05j),(-0.0018998980522155762+2.037733793258667e-05j),(-0.0019081756472587585+1.967698335647583e-05j),(-0.0019061341881752014+1.0885298252105713e-05j),(-0.001909002661705017+1.7702579498291016e-05j),(-0.0019207820296287537-4.842877388000488e-06j),(-0.0019032731652259827+1.7702579498291016e-05j),(-0.0019152462482452393+9.171664714813232e-06j),(-0.0019054338335990906+1.662224531173706e-05j)
151,(-0.001891806721687317+3.100931644439697e-05j),(-0.0018969625234603882+1.687556505203247e-05j),(-0.0018821880221366882+3.579258918762207e-05j),(-0.0018891319632530212+3.1970441341400146e-05j),(-0.0018908530473709106+2.7827918529510498e-05j),(-0.0019058212637901306+1.1526048183441162e-05j),(-0.0019021257758140564+2.8401613235473633e-05j),(-0.0019012317061424255+3.082305192947388e-05j),(-0.001903332769870758+2.1710991859436035e-05j),(-0.0018868371844291687+3.515183925628662e-05j),(-0.0018923133611679077+3.7573277950286865e-05j),(-0.0019062012434005737+2.4199485778808594e-05j),(-0.0019037798047065735+2.298504114151001e-05j),(-0.0018940344452857971+2.527981996536255e-05j),(-0.001902759075164795+1.0952353477478027e-05j),(-0.0019137188792228699+2.298504114151001e-05j),(-0.0019021853804588318+2.4005770683288574e-05j),(-0.0018966495990753174+2.4259090423583984e-05j),(-0.0019077956676483154+1.712888479232788e-05j),(-0.001894734799861908+2.6747584342956543e-05j),(-0.0019072219729423523+2.5153160095214844e-05j),(-0.0019067078828811646+2.012401819229126e-05j),(-0.001891106367111206+1.8909573554992676e-05j),(-0.0019016116857528687+2.8081238269805908e-05j),(-0.0018996372818946838+1.3753771781921387e-05j),(-0.0019074752926826477+7.577240467071533e-06j),(-0.001898936927318573+1.5601515769958496e-05j),(-0.001888178288936615+3.184378147125244e-05j),(-0.001895815134048462+2.228468656539917e-05j),(-0.001905880868434906+1.2032687664031982e-05j),(-0.0019096434116363525+7.763504981994629e-06j)
152,(-0.0019140318036079407+1.662224531173706e-05j),(-0.0019145458936691284+1.712888479232788e-05j),(-0.0018951818346977234+2.4199485778808594e-05j),(-0.0019000247120857239+2.183765172958374e-05j),(-0.0019191280007362366+1.4260411262512207e-05j),(-0.001912631094455719+8.024275302886963e-06j),(-0.0019100233912467957+1.0125339031219482e-05j),(-0.001897856593132019+2.7000904083251953e-05j),(-0.0018990039825439453+2.4899840354919434e-05j),(-0.001902952790260315+2.7127563953399658e-05j),(-0.001904606819152832+1.6808509826660156e-05j),(-0.001911744475364685+1.598149538040161e-05j),(-0.0018983632326126099+2.4706125259399414e-05j),(-0.0019081756472587585+1.0699033737182617e-05j),(-0.0019023120403289795+2.012401819229126e-05j),(-0.0019030794501304626+3.317743539810181e-05j),(-0.0019043534994125366+1.2099742889404297e-05j),(-0.0019063279032707214+7.577240467071533e-06j),(-0.0019111037254333496+1.0184943675994873e-05j),(-0.0019054338335990906+2.127140760421753e-05j),(-0.001912444829940796+5.349516868591309e-06j),(-0.0019121244549751282+1.2226402759552002e-05j),(-0.0019126981496810913+9.998679161071777e-06j),(-0.0019087493419647217+1.9297003746032715e-05j),(-0.0019126981496810913+2.987682819366455e-06j),(-0.0019106566905975342+1.9297003746032715e-05j),(-0.0018935874104499817+2.2411346435546875e-05j),(-0.0019082427024841309+5.409121513366699e-06j),(-0.0019186213612556458+8.784234523773193e-06j),(-0.001898050308227539+1.7896294593811035e-05j),(-0.0019049867987632751+2.2098422050476074e-05j)
153,(-0.0018970295786857605+2.8207898139953613e-05j),(-0.0019094496965408325+1.0319054126739502e-05j),(-0.0018957555294036865+3.8467347621917725e-05j),(-0.0018944144248962402+2.9481947422027588e-05j),(-0.0019165202975273132+1.547485589981079e-05j),(-0.0019070878624916077+1.6555190086364746e-05j),(-0.0018990635871887207+2.08243727684021e-05j),(-0.0019000247120857239+1.4260411262512207e-05j),(-0.001909896731376648+1.833587884902954e-05j),(-0.0018979236483573914+2.6360154151916504e-05j),(-0.0018955022096633911+2.6620924472808838e-05j),(-0.0018990635871887207+2.8781592845916748e-05j),(-0.0019058212637901306+1.0631978511810303e-05j),(-0.0019018054008483887+1.903623342514038e-05j),(-0.0019118040800094604+4.135072231292725e-06j),(-0.001916453242301941+5.066394805908203e-07j),(-0.0018907859921455383+2.8401613235473633e-05j),(-0.0019257515668869019+6.236135959625244e-06j),(-0.0019105300307273865+9.357929229736328e-06j),(-0.001897282898426056+2.292543649673462e-05j),(-0.0019126981496810913+7.323920726776123e-06j),(-0.0019174739718437195+1.8149614334106445e-05j),(-0.0019092559814453125+1.0572373867034912e-05j),(-0.0019036531448364258+2.152472734451294e-05j),(-0.001894734799861908+2.158433198928833e-05j),(-0.0018958821892738342+2.183765172958374e-05j),(-0.0018914863467216492+2.133101224899292e-05j),(-0.0019019320607185364+1.738220453262329e-05j),(-0.001911357045173645+1.782923936843872e-05j),(-0.0019191950559616089+2.6747584342956543e-06j),(-0.001909002661705017+1.0311603546142578e-05j)
154,(-0.0019114241003990173+1.0378658771514893e-05j),(-0.0019023790955543518+3.254413604736328e-05j),(-0.0019119307398796082+2.6874244213104248e-05j),(-0.00190078467130661+1.827627420425415e-05j),(-0.0018961355090141296+2.9101967811584473e-05j),(-0.0018923133611679077+3.4518539905548096e-05j),(-0.0018910467624664307+3.438442945480347e-05j),(-0.0018999576568603516+1.92299485206604e-05j),(-0.0018940344452857971+2.4512410163879395e-05j),(-0.001904994249343872+1.8596649169921875e-05j),(-0.0019072815775871277+1.7762184143066406e-05j),(-0.0018932074308395386+3.0308961868286133e-05j),(-0.0018939077854156494+3.0435621738433838e-05j),(-0.0019025057554244995+1.858919858932495e-05j),(-0.0018937811255455017+2.6360154151916504e-05j),(-0.0019005313515663147+2.8721988201141357e-05j),(-0.0018919333815574646+2.642720937728882e-05j),(-0.0018970295786857605+2.5600194931030273e-05j),(-0.0019073486328125+2.127140760421753e-05j),(-0.001901485025882721+2.267211675643921e-05j),(-0.001894928514957428+1.4901161193847656e-05j),(-0.001911550760269165+1.3247132301330566e-05j),(-0.0019028857350349426+1.3686716556549072e-05j),(-0.001904994249343872+2.1457672119140625e-05j),(-0.0019077956676483154+1.852959394454956e-05j),(-0.0019055604934692383+1.4007091522216797e-05j),(-0.0019061341881752014+1.693516969680786e-05j),(-0.0018993839621543884+1.9103288650512695e-05j),(-0.0018949881196022034+2.9101967811584473e-05j),(-0.001896582543849945+1.4200806617736816e-05j),(-0.001917727291584015+8.977949619293213e-06j)
155,(-0.001899324357509613+1.4521181583404541e-05j),(-0.0018956884741783142+2.1457672119140625e-05j),(-0.0018969625234603882+2.2098422050476074e-05j),(-0.0019136518239974976+1.3306736946105957e-05j),(-0.0018962621688842773+1.9997358322143555e-05j),(-0.0018960759043693542+1.9297003746032715e-05j),(-0.0019069015979766846+1.5854835510253906e-05j),(-0.0019078552722930908+2.088397741317749e-05j),(-0.0019006580114364624+1.1906027793884277e-05j),(-0.0019005313515663147+1.1272728443145752e-05j),(-0.001904994249343872+1.4260411262512207e-05j),(-0.0018981099128723145+2.133101224899292e-05j),(-0.001904226839542389+1.738220453262329e-05j),(-0.0018966495990753174+1.7702579498291016e-05j),(-0.0019160062074661255+9.357929229736328e-06j),(-0.0019021257758140564+1.4707446098327637e-05j),(-0.0018922537565231323+1.648813486099243e-05j),(-0.0019257515668869019+9.298324584960938e-06j),(-0.0019037798047065735+1.6048550605773926e-05j),(-0.0019144192337989807+8.404254913330078e-06j),(-0.00190715491771698+1.5154480934143066e-05j),(-0.0019167736172676086-2.4884939193725586e-06j),(-0.0019041597843170166+8.724629878997803e-06j),(-0.0019021853804588318+2.502650022506714e-05j),(-0.0019099563360214233+1.3113021850585938e-05j),(-0.0018984898924827576+2.1710991859436035e-05j),(-0.0018924400210380554+1.897662878036499e-05j),(-0.0019051805138587952+1.0699033737182617e-05j),(-0.0019139721989631653+8.866190910339355e-07j),(-0.0019160732626914978+9.611248970031738e-06j),(-0.0019119977951049805+1.1526048183441162e-05j)
156,(-0.0018871575593948364+3.088265657424927e-05j),(-0.0019087493419647217+2.8021633625030518e-05j),(-0.00189238041639328+3.65525484085083e-05j),(-0.0018874779343605042+3.273040056228638e-05j),(-0.0018897056579589844+2.527981996536255e-05j),(-0.0018912330269813538+3.375113010406494e-05j),(-0.0018910393118858337+3.0502676963806152e-05j),(-0.0018865838646888733+3.419816493988037e-05j),(-0.0019076019525527954+2.228468656539917e-05j),(-0.0018910393118858337+3.088265657424927e-05j),(-0.0018861368298530579+3.3624470233917236e-05j),(-0.0018870905041694641+3.3624470233917236e-05j),(-0.001890718936920166+2.9422342777252197e-05j),(-0.0018902122974395752+2.5659799575805664e-05j),(-0.0018863305449485779+4.075467586517334e-05j),(-0.0018772855401039124+3.5919249057769775e-05j),(-0.0018939077854156494+3.222376108169556e-05j),(-0.0018835291266441345+2.9675662517547607e-05j),(-0.001896008849143982+3.789365291595459e-05j),(-0.0018863901495933533+3.820657730102539e-05j),(-0.0018818676471710205+3.075599670410156e-05j),(-0.0018914863467216492+2.527981996536255e-05j),(-0.0018860101699829102+3.769993782043457e-05j),(-0.001881614327430725+3.814697265625e-05j),(-0.0018897056579589844+3.075599670410156e-05j),(-0.0018832758069038391+3.4771859645843506e-05j),(-0.00187741219997406+4.629790782928467e-05j),(-0.001891106367111206+2.6047229766845703e-05j),(-0.0019002780318260193+2.127140760421753e-05j),(-0.0018874779343605042+3.0055642127990723e-05j),(-0.0018966495990753174+2.62334942817688e-05j)
157,(-0.0019044801592826843+1.5348196029663086e-05j),(-0.0018998309969902039+2.6360154151916504e-05j),(-0.0019072815775871277+1.852959394454956e-05j),(-0.001900598406791687+1.598149538040161e-05j),(-0.0019045472145080566+1.8462538719177246e-05j),(-0.0019100233912467957+1.5601515769958496e-05j),(-0.0019021257758140564+5.535781383514404e-06j),(-0.0018940344452857971+1.8656253814697266e-05j),(-0.0019045472145080566+1.7061829566955566e-05j),(-0.0019030794501304626+1.9803643226623535e-05j),(-0.0018984898924827576+2.158433198928833e-05j),(-0.0018974095582962036+1.782923936843872e-05j),(-0.0019160732626914978+4.202127456665039e-06j),(-0.0019010379910469055+5.476176738739014e-06j),(-0.001896776258945465+1.3053417205810547e-05j),(-0.0018932074308395386+2.502650022506714e-05j),(-0.0018926337361335754+1.687556505203247e-05j),(-0.0018952488899230957+2.763420343399048e-05j),(-0.0018972232937812805+1.7449259757995605e-05j),(-0.0018941015005111694+3.400444984436035e-05j),(-0.0018969625234603882+2.368539571762085e-05j),(-0.0018884316086769104+2.337247133255005e-05j),(-0.0019035860896110535+2.2858381271362305e-05j),(-0.0018886253237724304+2.1904706954956055e-05j),(-0.0019081085920333862+2.0697712898254395e-05j),(-0.0019076690077781677+1.987069845199585e-05j),(-0.0019021853804588318+1.7061829566955566e-05j),(-0.0018964558839797974+2.3558735847473145e-05j),(-0.0018970891833305359+2.62334942817688e-05j),(-0.0019009113311767578+2.9549002647399902e-05j),(-0.0018937811255455017+2.203136682510376e-05j)
158,(-0.0018970891833305359+3.4071505069732666e-05j),(-0.0018870308995246887+3.0249357223510742e-05j),(-0.0018939673900604248+2.693384885787964e-05j),(-0.0018866509199142456+1.2159347534179688e-05j),(-0.001884356141090393+1.8149614334106445e-05j),(-0.0018939673900604248+1.4647841453552246e-05j),(-0.001886516809463501+2.222508192062378e-05j),(-0.0019035860896110535+8.277595043182373e-06j),(-0.00189875066280365-2.421438694000244e-06j),(-0.0018904060125350952+1.2099742889404297e-05j),(-0.0019094496965408325+3.375113010406494e-06j),(-0.00191575288772583-8.411705493927002e-06j),(-0.001908428966999054+1.0132789611816406e-06j),(-0.0019019991159439087+3.1813979148864746e-06j),(-0.0018864572048187256+1.0572373867034912e-05j),(-0.0018971562385559082+4.202127456665039e-06j),(-0.0019116178154945374+1.1526048183441162e-05j),(-0.0019291937351226807-2.421438694000244e-06j),(-0.0019165799021720886+6.1765313148498535e-06j),(-0.0019104033708572388+4.388391971588135e-06j),(-0.001909002661705017+1.2479722499847412e-05j),(-0.0019083023071289062+1.2606382369995117e-05j),(-0.0019148588180541992+1.1332333087921143e-05j),(-0.0019081085920333862+1.1332333087921143e-05j),(-0.0019129514694213867+1.3180077075958252e-05j),(-0.0018979236483573914+1.6361474990844727e-05j),(-0.0019096434116363525+1.3686716556549072e-05j),(-0.001904994249343872+1.808255910873413e-05j),(-0.001920655369758606+3.948807716369629e-06j),(-0.0019098296761512756+9.424984455108643e-06j),(-0.0019048601388931274+1.3373792171478271e-05j)
159,(-0.001897476613521576+2.553313970565796e-05j),(-0.001904226839542389+1.6048550605773926e-05j),(-0.001891106367111206+1.827627420425415e-05j),(-0.001884356141090393+5.409121513366699e-06j),(-0.0018674731254577637-1.087784767150879e-06j),(-0.0018653720617294312+1.1458992958068848e-05j),(-0.0018729567527770996-5.4836273193359375e-06j),(-0.0018820017576217651+9.171664714813232e-06j),(-0.0018753111362457275+1.7061829566955566e-05j),(-0.0018755048513412476+1.2740492820739746e-06j),(-0.0018858164548873901-1.341104507446289e-07j),(-0.001870661973953247+4.135072231292725e-06j),(-0.0018831416964530945-7.331371307373047e-06j),(-0.0018756911158561707-8.665025234222412e-06j),(-0.0018663927912712097+9.804964065551758e-06j),(-0.0018770918250083923+3.127008676528931e-05j),(-0.0018808543682098389+3.4578144550323486e-05j),(-0.0018932744860649109+1.4834105968475342e-05j),(-0.0018983632326126099+2.292543649673462e-05j),(-0.0019063279032707214+1.7449259757995605e-05j),(-0.0018944814801216125+2.508610486984253e-05j),(-0.0019046738743782043+2.133101224899292e-05j),(-0.0019034594297409058+2.1710991859436035e-05j),(-0.0018943548202514648+2.578645944595337e-05j),(-0.001903720200061798+9.171664714813232e-06j),(-0.0019263848662376404+1.3813376426696777e-05j),(-0.0018977299332618713+3.6872923374176025e-05j),(-0.0019009113311767578+1.2926757335662842e-05j),(-0.0019051805138587952+1.617521047592163e-05j),(-0.0019091293215751648+9.551644325256348e-06j),(-0.0018998980522155762+2.0697712898254395e-05j)
