,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
150,(-0.0019740909337997437+1.2412667274475098e-05j),(-0.001974917948246002+2.3245811462402344e-05j),(-0.0019696950912475586+2.343207597732544e-05j),(-0.0019756853580474854+1.852959394454956e-05j),(-0.0019535869359970093+3.865361213684082e-05j),(-0.001970142126083374+3.2924115657806396e-05j),(-0.0019616708159446716+3.13296914100647e-05j),(-0.001973770558834076+1.3627111911773682e-05j),(-0.001963585615158081+2.8908252716064453e-05j),(-0.001962624490261078+3.209710121154785e-05j),(-0.001969955861568451+3.4324824810028076e-05j),(-0.001968108117580414+2.477318048477173e-05j),(-0.0019740313291549683+2.3052096366882324e-05j),(-0.0019633248448371887+2.5913119316101074e-05j),(-0.001984603703022003+8.977949619293213e-06j),(-0.0019873380661010742+2.987682819366455e-06j),(-0.001979634165763855+1.4834105968475342e-05j),(-0.0019649863243103027+2.6807188987731934e-05j),(-0.0019719302654266357+1.687556505203247e-05j),(-0.0019659996032714844+2.7701258659362793e-05j),(-0.0019568949937820435+3.056973218917847e-05j),(-0.0019617974758148193+2.7254223823547363e-05j),(-0.001969441771507263+2.5406479835510254e-05j),(-0.001984730362892151+1.4074146747589111e-05j),(-0.001974731683731079+1.1146068572998047e-05j),(-0.00199880450963974+8.083879947662354e-06j),(-0.001974858343601227+2.11372971534729e-05j),(-0.001981481909751892+1.1011958122253418e-05j),(-0.001987271010875702+1.1272728443145752e-05j),(-0.0019736438989639282+2.228468656539917e-05j),(-0.0019786134362220764+2.7827918529510498e-05j)
151,(-0.0019671469926834106+3.0182301998138428e-05j),(-0.0019711628556251526+1.553446054458618e-05j),(-0.001966133713722229+1.738220453262329e-05j),(-0.0019781067967414856+1.1399388313293457e-05j),(-0.00196906179189682+1.9803643226623535e-05j),(-0.0019607841968536377+2.197176218032837e-05j),(-0.0019662603735923767+2.4005770683288574e-05j),(-0.001975812017917633+2.3752450942993164e-05j),(-0.0019647255539894104+1.4647841453552246e-05j),(-0.001984216272830963+1.712888479232788e-05j),(-0.001977279782295227+1.5601515769958496e-05j),(-0.001969382166862488+2.4452805519104004e-05j),(-0.0019842833280563354+9.484589099884033e-06j),(-0.0019578486680984497+2.6807188987731934e-05j),(-0.001972883939743042+2.037733793258667e-05j),(-0.0019837096333503723+1.1838972568511963e-05j),(-0.001985110342502594+1.687556505203247e-05j),(-0.001974858343601227+1.802295446395874e-05j),(-0.001968108117580414+2.4706125259399414e-05j),(-0.001979254186153412+1.5407800674438477e-05j),(-0.0019691213965415955+1.4834105968475342e-05j),(-0.001980140805244446+1.3053417205810547e-05j),(-0.0019841566681861877+1.3753771781921387e-05j),(-0.001988358795642853+1.4007091522216797e-05j),(-0.001976579427719116+1.5854835510253906e-05j),(-0.0019870176911354065+9.931623935699463e-06j),(-0.0019777268171310425+1.1399388313293457e-05j),(-0.001985490322113037+1.4513731002807617e-05j),(-0.001980014145374298+2.2545456886291504e-05j),(-0.001978740096092224+2.5406479835510254e-05j),(-0.0019722431898117065+2.317875623703003e-05j)
152,(-0.001967214047908783+2.1204352378845215e-05j),(-0.0019700825214385986+1.662224531173706e-05j),(-0.001963965594768524+1.2986361980438232e-05j),(-0.0019716694951057434+2.267211675643921e-05j),(-0.0019598230719566345+2.2098422050476074e-05j),(-0.0019418001174926758+3.680586814880371e-05j),(-0.00196867436170578+1.4901161193847656e-05j),(-0.001956067979335785+1.1973083019256592e-05j),(-0.0019747912883758545+3.56137752532959e-06j),(-0.0019718632102012634+1.4454126358032227e-05j),(-0.0019632652401924133+9.424984455108643e-06j),(-0.0019713565707206726+1.642853021621704e-05j),(-0.0019672736525535583+9.298324584960938e-06j),(-0.0019631385803222656+1.6808509826660156e-05j),(-0.0019669607281684875+1.8343329429626465e-05j),(-0.001961037516593933+2.0310282707214355e-05j),(-0.0019675344228744507+2.2605061531066895e-05j),(-0.001983642578125-1.914799213409424e-06j),(-0.0019627511501312256+2.738088369369507e-05j),(-0.0019662603735923767+1.9550323486328125e-05j),(-0.0019643455743789673+2.177804708480835e-05j),(-0.0019607841968536377+1.5661120414733887e-05j),(-0.0019594430923461914+3.158301115036011e-05j),(-0.0019665732979774475+2.337247133255005e-05j),(-0.001980140805244446+2.018362283706665e-05j),(-0.0019828155636787415+2.407282590866089e-05j),(-0.0019814148545265198+1.827627420425415e-05j),(-0.0019761323928833008+2.08243727684021e-05j),(-0.001978166401386261+9.298324584960938e-06j),(-0.001980528235435486+1.852959394454956e-05j),(-0.001973070204257965+1.3880431652069092e-05j)
153,(-0.0019503980875015259+1.1846423149108887e-05j),(-0.0019517391920089722+1.2286007404327393e-05j),(-0.0019554272294044495+1.0699033737182617e-05j),(-0.0019472837448120117+6.556510925292969e-06j),(-0.001955747604370117+1.1146068572998047e-05j),(-0.0019539669156074524+7.0035457611083984e-06j),(-0.0019489973783493042+1.0058283805847168e-05j),(-0.001943141222000122+2.598017454147339e-05j),(-0.0019523128867149353+1.4007091522216797e-05j),(-0.0019565746188163757+1.3560056686401367e-05j),(-0.0019610971212387085+6.809830665588379e-06j),(-0.001944415271282196+2.9101967811584473e-05j),(-0.0019477903842926025+1.833587884902954e-05j),(-0.0019649192690849304+2.2873282432556152e-06j),(-0.0019436478614807129+1.2479722499847412e-05j),(-0.001968681812286377+1.4007091522216797e-06j),(-0.0019475370645523071+8.530914783477783e-06j),(-0.0019459426403045654+1.4580786228179932e-05j),(-0.0019460693001747131+1.4007091522216797e-05j),(-0.001948237419128418+7.897615432739258e-06j),(-0.0019567683339118958+5.155801773071289e-06j),(-0.001963898539543152+2.5331974029541016e-07j),(-0.0019688084721565247+1.948326826095581e-05j),(-0.001976512372493744+2.8021633625030518e-05j),(-0.0019668936729431152+2.253800630569458e-05j),(-0.0019770190119743347+1.5154480934143066e-05j),(-0.0019862577319145203+1.2673437595367432e-05j),(-0.0019756853580474854+2.5212764739990234e-05j),(-0.001973584294319153+2.578645944595337e-05j),(-0.0019766390323638916+1.4454126358032227e-05j),(-0.001981668174266815+1.3753771781921387e-05j)
154,(-0.0019631385803222656-2.3618340492248535e-06j),(-0.0019540935754776+7.323920726776123e-06j),(-0.0019630715250968933+2.034008502960205e-06j),(-0.001960843801498413+1.687556505203247e-05j),(-0.0019609108567237854+1.8402934074401855e-06j),(-0.0019593164324760437+2.8014183044433594e-06j),(-0.001954793930053711+1.1779367923736572e-05j),(-0.00196249783039093+1.862645149230957e-07j),(-0.0019549205899238586+9.037554264068604e-06j),(-0.0019519254565238953+1.668184995651245e-05j),(-0.0019509121775627136+2.553313970565796e-05j),(-0.0019433945417404175+1.7955899238586426e-05j),(-0.001957915723323822+2.2277235984802246e-06j),(-0.0019653066992759705+1.3686716556549072e-05j),(-0.001954413950443268+1.0311603546142578e-05j),(-0.0019518658518791199+9.551644325256348e-06j),(-0.0019616112112998962+9.737908840179443e-06j),(-0.001960970461368561-1.7210841178894043e-06j),(-0.0019495710730552673+9.104609489440918e-06j),(-0.0019405931234359741+5.476176738739014e-06j),(-0.001937277615070343+6.236135959625244e-06j),(-0.001968167722225189+2.4139881134033203e-06j),(-0.0019717365503311157+7.323920726776123e-06j),(-0.0019826292991638184+2.133101224899292e-05j),(-0.0019637122750282288+2.6300549507141113e-05j),(-0.001967914402484894+3.5025179386138916e-05j),(-0.00197543203830719+2.228468656539917e-05j),(-0.001975618302822113+1.948326826095581e-05j),(-0.0019630715250968933+3.3624470233917236e-05j),(-0.0019784867763519287+1.57281756401062e-05j),(-0.0019664466381073+2.508610486984253e-05j)
155,(-0.0019640251994132996+8.597970008850098e-06j),(-0.001966699957847595+1.1079013347625732e-05j),(-0.001972183585166931+1.4454126358032227e-05j),(-0.001967981457710266+3.3080577850341797e-06j),(-0.0019729435443878174+9.298324584960938e-06j),(-0.0019677206873893738+1.7702579498291016e-05j),(-0.001976191997528076-1.341104507446289e-07j),(-0.0019616708159446716+2.3752450942993164e-05j),(-0.0019809678196907043+1.0505318641662598e-05j),(-0.001963391900062561+1.4647841453552246e-05j),(-0.001977592706680298+1.1079013347625732e-05j),(-0.001969441771507263+6.303191184997559e-06j),(-0.0019695088267326355+1.2800097465515137e-05j),(-0.001962438225746155+2.5600194931030273e-05j),(-0.0019676610827445984+8.277595043182373e-06j),(-0.001974858343601227+6.683170795440674e-06j),(-0.00196046382188797+1.0378658771514893e-05j),(-0.0019685477018356323+4.26173210144043e-06j),(-0.0019867047667503357-9.812414646148682e-06j),(-0.0019472166895866394+4.388391971588135e-06j),(-0.00196046382188797-9.171664714813232e-06j),(-0.001969568431377411+4.0084123611450195e-06j),(-0.0019782930612564087+2.152472734451294e-05j),(-0.001962624490261078+2.3245811462402344e-05j),(-0.0019770264625549316+2.0310282707214355e-05j),(-0.0019865110516548157+8.150935173034668e-06j),(-0.001984916627407074+1.4327466487884521e-05j),(-0.0019793808460235596+1.1332333087921143e-05j),(-0.001985684037208557+1.3880431652069092e-05j),(-0.001983329653739929+1.7508864402770996e-05j),(-0.0019678473472595215+3.30507755279541e-05j)
156,(-0.0019702687859535217+1.3306736946105957e-05j),(-0.001981861889362335+2.018362283706665e-05j),(-0.001961544156074524+3.190338611602783e-05j),(-0.0019691884517669678+2.317875623703003e-05j),(-0.00196046382188797+3.2924115657806396e-05j),(-0.0019726306200027466+2.547353506088257e-05j),(-0.0019700825214385986+1.1779367923736572e-05j),(-0.00196269154548645+2.8654932975769043e-05j),(-0.0019727572798728943+1.6555190086364746e-05j),(-0.001979827880859375+1.8209218978881836e-05j),(-0.0019813552498817444+2.1710991859436035e-05j),(-0.0019677206873893738+2.337247133255005e-05j),(-0.0019673407077789307+2.578645944595337e-05j),(-0.0019742175936698914+1.4901161193847656e-05j),(-0.001985616981983185+8.083879947662354e-06j),(-0.001970909535884857+2.508610486984253e-05j),(-0.001971609890460968+2.7254223823547363e-05j),(-0.0019809678196907043+1.2986361980438232e-05j),(-0.001980334520339966-1.7881393432617188e-06j),(-0.001961037516593933-1.2934207916259766e-05j),(-0.0019730105996131897-1.4267861843109131e-05j),(-0.001970522105693817-1.7210841178894043e-06j),(-0.001973964273929596+1.2412667274475098e-05j),(-0.0019629448652267456+2.5600194931030273e-05j),(-0.001981861889362335+2.158433198928833e-05j),(-0.0019753053784370422+2.057105302810669e-05j),(-0.0019865110516548157+3.3080577850341797e-06j),(-0.001983642578125+1.5214085578918457e-05j),(-0.0019890591502189636+1.662224531173706e-05j),(-0.0019847899675369263+1.3753771781921387e-05j),(-0.001976512372493744+2.8975307941436768e-05j)
157,(-0.001960970461368561+3.834068775177002e-05j),(-0.0019826292991638184+1.3947486877441406e-05j),(-0.001983135938644409+1.802295446395874e-05j),(-0.001971416175365448+3.2924115657806396e-05j),(-0.0019637122750282288+3.317743539810181e-05j),(-0.001971036195755005+1.6048550605773926e-05j),(-0.0019771531224250793+2.438575029373169e-05j),(-0.0019669607281684875+3.5025179386138916e-05j),(-0.001974537968635559+1.648813486099243e-05j),(-0.0019706562161445618+1.76355242729187e-05j),(-0.0019865110516548157+8.337199687957764e-06j),(-0.001993514597415924+7.957220077514648e-06j),(-0.001981094479560852+1.7508864402770996e-05j),(-0.001982368528842926+1.1846423149108887e-05j),(-0.0019865110516548157+1.4647841453552246e-05j),(-0.001980334520339966+1.3247132301330566e-05j),(-0.0019930079579353333+6.750226020812988e-06j),(-0.0019821152091026306+1.712888479232788e-05j),(-0.001965366303920746+1.827627420425415e-05j),(-0.0019814148545265198-1.8730759620666504e-05j),(-0.001958489418029785+8.530914783477783e-06j),(-0.001972183585166931+8.910894393920898e-06j),(-0.001976318657398224+2.8207898139953613e-05j),(-0.0019716694951057434+2.62334942817688e-05j),(-0.001990079879760742+2.063065767288208e-05j),(-0.0019768327474594116+1.3053417205810547e-05j),(-0.001977980136871338+2.547353506088257e-05j),(-0.0019919201731681824+1.1399388313293457e-06j),(-0.0019854307174682617+8.530914783477783e-06j),(-0.001963585615158081+2.8461217880249023e-05j),(-0.001980207860469818+2.438575029373169e-05j)
158,(-0.001964159309864044+2.2158026695251465e-05j),(-0.001967974007129669+3.107637166976929e-05j),(-0.0019810348749160767+2.718716859817505e-05j),(-0.0019733309745788574+2.1904706954956055e-05j),(-0.0019742175936698914+3.0308961868286133e-05j),(-0.001974344253540039+2.1964311599731445e-05j),(-0.0019629448652267456+2.648681402206421e-05j),(-0.001979827880859375+1.3820827007293701e-05j),(-0.001980528235435486+8.784234523773193e-06j),(-0.001971036195755005+1.553446054458618e-05j),(-0.001968294382095337+1.6301870346069336e-05j),(-0.001968488097190857+2.8848648071289062e-05j),(-0.001983262598514557+2.2351741790771484e-05j),(-0.0019779130816459656+3.3371150493621826e-05j),(-0.0019672736525535583+2.7060508728027344e-05j),(-0.0019687414169311523+2.6807188987731934e-05j),(-0.00196683406829834+2.2411346435546875e-05j),(-0.001972116529941559+1.878291368484497e-05j),(-0.001965045928955078+2.2411346435546875e-05j),(-0.0019620582461357117+4.455447196960449e-06j),(-0.0019617974758148193+1.6361474990844727e-05j),(-0.001968167722225189+1.2353062629699707e-05j),(-0.0019758790731430054+1.6555190086364746e-05j),(-0.001978866755962372+2.1398067474365234e-05j),(-0.001979060471057892+4.135072231292725e-06j),(-0.0019791200757026672+1.878291368484497e-05j),(-0.001976318657398224+1.0699033737182617e-05j),(-0.0019860640168190002+1.7955899238586426e-05j),(-0.001967787742614746+2.2858381271362305e-05j),(-0.00196007639169693+3.4578144550323486e-05j),(-0.001980908215045929+1.617521047592163e-05j)
159,(-0.0019524991512298584+3.4324824810028076e-05j),(-0.001969568431377411+3.088265657424927e-05j),(-0.001968294382095337+3.954768180847168e-05j),(-0.0019610971212387085+3.5025179386138916e-05j),(-0.0019652992486953735+2.9161572456359863e-05j),(-0.001969762146472931+3.209710121154785e-05j),(-0.0019822418689727783+2.127140760421753e-05j),(-0.0019605234265327454+4.0121376514434814e-05j),(-0.001976706087589264+2.1964311599731445e-05j),(-0.0019700825214385986+2.7507543563842773e-05j),(-0.0019777193665504456+2.693384885787964e-05j),(-0.00197785347700119+2.6620924472808838e-05j),(-0.0019676610827445984+3.419816493988037e-05j),(-0.001965239644050598+2.598017454147339e-05j),(-0.0019674673676490784+3.3624470233917236e-05j),(-0.0019575953483581543+2.5853514671325684e-05j),(-0.0019704625010490417+3.203004598617554e-05j),(-0.0019702091813087463+3.0122697353363037e-05j),(-0.0019717365503311157+2.0951032638549805e-05j),(-0.00196269154548645+4.902482032775879e-06j),(-0.0019603967666625977+1.1779367923736572e-05j),(-0.001963391900062561+1.8015503883361816e-05j),(-0.0019658133387565613+1.528114080429077e-05j),(-0.00196664035320282+3.5531818866729736e-05j),(-0.0019789934158325195+2.5853514671325684e-05j),(-0.00198180228471756+2.1010637283325195e-05j),(-0.00196269154548645+3.2417476177215576e-05j),(-0.0019823089241981506+1.617521047592163e-05j),(-0.0019884854555130005+1.3180077075958252e-05j),(-0.001977980136871338+1.5094876289367676e-05j),(-0.001964159309864044+2.7701258659362793e-05j)
