,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
150,(-0.001946575939655304+2.3111701011657715e-05j),(-0.001946963369846344+2.6553869247436523e-05j),(-0.0019439682364463806+3.0502676963806152e-05j),(-0.001954413950443268+2.018362283706665e-05j),(-0.001965045928955078+2.1204352378845215e-05j),(-0.001949124038219452+3.13296914100647e-05j),(-0.001952439546585083+1.528114080429077e-05j),(-0.001949317753314972+2.1010637283325195e-05j),(-0.0019580423831939697+2.057105302810669e-05j),(-0.001942373812198639+2.598017454147339e-05j),(-0.001951165497303009+3.49581241607666e-05j),(-0.0019384250044822693+2.8207898139953613e-05j),(-0.001946769654750824+3.075599670410156e-05j),(-0.0019535869359970093+2.228468656539917e-05j),(-0.0019531995058059692+2.5600194931030273e-05j),(-0.0019530728459358215+1.9356608390808105e-05j),(-0.001955367624759674+2.1457672119140625e-05j),(-0.001947149634361267+2.9996037483215332e-05j),(-0.0019538402557373047+1.738220453262329e-05j),(-0.001961924135684967+2.9355287551879883e-05j),(-0.001959569752216339+2.0250678062438965e-05j),(-0.0019468963146209717+2.62334942817688e-05j),(-0.001954793930053711+1.3113021850585938e-05j),(-0.0019549205899238586+2.3558735847473145e-05j),(-0.001955874264240265+2.5220215320587158e-05j),(-0.0019630715250968933+2.3543834686279297e-06j),(-0.0019481107592582703+1.547485589981079e-05j),(-0.0019570887088775635+1.7061829566955566e-05j),(-0.0019551143050193787+1.9162893295288086e-05j),(-0.0019560083746910095+7.897615432739258e-06j),(-0.0019551143050193787+2.1204352378845215e-05j)
151,(-0.0019463226199150085+2.8908252716064453e-05j),(-0.0019422471523284912+3.139674663543701e-05j),(-0.001962438225746155+1.3686716556549072e-05j),(-0.001946575939655304+1.0885298252105713e-05j),(-0.0019461363554000854+3.0055642127990723e-05j),(-0.001948237419128418+2.46390700340271e-05j),(-0.0019474700093269348+2.5406479835510254e-05j),(-0.0019502118229866028+1.73225998878479e-05j),(-0.001954987645149231+8.530914783477783e-06j),(-0.001948043704032898+3.4324824810028076e-05j),(-0.0019538402557373047+1.6748905181884766e-05j),(-0.001957021653652191+2.11372971534729e-05j),(-0.0019515454769134521+2.0697712898254395e-05j),(-0.0019449889659881592+1.92299485206604e-05j),(-0.001936003565788269+3.46451997756958e-05j),(-0.001946575939655304+1.967698335647583e-05j),(-0.0019588693976402283+7.063150405883789e-06j),(-0.001946963369846344+1.9356608390808105e-05j),(-0.001951165497303009+1.7762184143066406e-05j),(-0.0019477233290672302+2.553313970565796e-05j),(-0.0019612908363342285+3.8817524909973145e-06j),(-0.0019418001174926758+3.2417476177215576e-05j),(-0.001948811113834381+2.368539571762085e-05j),(-0.0019541606307029724+2.8908252716064453e-05j),(-0.0019422471523284912+2.451986074447632e-05j),(-0.0019487440586090088+2.037733793258667e-05j),(-0.0019541606307029724+2.5659799575805664e-05j),(-0.0019561946392059326+1.712888479232788e-05j),(-0.0019451156258583069+2.247840166091919e-05j),(-0.001957722008228302+2.393871545791626e-05j),(-0.0019500181078910828+3.215670585632324e-05j)
152,(-0.001957722008228302+1.9609928131103516e-05j),(-0.001962631940841675+8.657574653625488e-06j),(-0.0019567683339118958+8.657574653625488e-06j),(-0.0019509121775627136+2.5913119316101074e-05j),(-0.0019563212990760803+1.3880431652069092e-05j),(-0.001968294382095337+2.1010637283325195e-06j),(-0.0019534602761268616+8.597970008850098e-06j),(-0.001950085163116455+2.3052096366882324e-05j),(-0.0019698888063430786+5.2228569984436035e-06j),(-0.0019468963146209717+3.100931644439697e-05j),(-0.0019515454769134521+2.177804708480835e-05j),(-0.0019489377737045288+2.9735267162322998e-05j),(-0.0019406527280807495+1.9550323486328125e-05j),(-0.001952625811100006+1.1399388313293457e-05j),(-0.0019502118229866028+2.267211675643921e-05j),(-0.0019474700093269348+2.4259090423583984e-05j),(-0.0019689351320266724+2.6747584342956543e-06j),(-0.001964859664440155+1.5661120414733887e-05j),(-0.0019433945417404175+2.502650022506714e-05j),(-0.001957215368747711+1.5221536159515381e-05j),(-0.0019460693001747131+2.2798776626586914e-05j),(-0.0019577890634536743+1.6748905181884766e-05j),(-0.001954473555088043+2.477318048477173e-05j),(-0.0019583627581596375+1.3820827007293701e-05j),(-0.0019556209444999695+2.317875623703003e-05j),(-0.0019476637244224548+1.9103288650512695e-05j),(-0.0019454360008239746+3.0502676963806152e-05j),(-0.001946769654750824+1.5221536159515381e-05j),(-0.0019581690430641174+1.948326826095581e-05j),(-0.001960843801498413+1.3560056686401367e-05j),(-0.0019521191716194153+2.2351741790771484e-05j)
153,(-0.0019402727484703064+3.0249357223510742e-05j),(-0.0019455626606941223+1.9297003746032715e-05j),(-0.0019346699118614197+3.604590892791748e-05j),(-0.0019405931234359741+3.4071505069732666e-05j),(-0.0019421204924583435+2.8975307941436768e-05j),(-0.001937277615070343+4.884600639343262e-05j),(-0.0019432678818702698+2.457946538925171e-05j),(-0.0019484907388687134+2.7507543563842773e-05j),(-0.0019558146595954895+1.8656253814697266e-05j),(-0.001959696412086487+1.4521181583404541e-05j),(-0.0019462630152702332+2.9996037483215332e-05j),(-0.001950591802597046+1.9162893295288086e-05j),(-0.0019496381282806396+2.572685480117798e-05j),(-0.001967214047908783+1.4133751392364502e-05j),(-0.001961037516593933+1.7762184143066406e-05j),(-0.0019430145621299744+1.3306736946105957e-05j),(-0.0019494444131851196+1.9609928131103516e-05j),(-0.0019503384828567505+1.8909573554992676e-05j),(-0.0019467100501060486+2.337247133255005e-05j),(-0.0019481107592582703+2.343207597732544e-05j),(-0.0019539669156074524+9.737908840179443e-06j),(-0.001958809792995453+2.228468656539917e-05j),(-0.0019476637244224548+2.8781592845916748e-05j),(-0.0019503980875015259+2.5913119316101074e-05j),(-0.0019439011812210083+2.4706125259399414e-05j),(-0.0019470900297164917+1.8402934074401855e-05j),(-0.0019552409648895264+1.7195940017700195e-05j),(-0.0019519254565238953+1.808255910873413e-05j),(-0.0019545406103134155+1.4074146747589111e-05j),(-0.001935623586177826+3.439188003540039e-05j),(-0.0019500181078910828+1.4007091522216797e-05j)
154,(-0.0019464492797851562+3.0249357223510742e-05j),(-0.0019396990537643433+3.3624470233917236e-05j),(-0.0019404664635658264+3.056973218917847e-05j),(-0.001933269202709198+3.9167702198028564e-05j),(-0.0019463226199150085+2.6807188987731934e-05j),(-0.0019479766488075256+2.7000904083251953e-05j),(-0.0019354969263076782+3.680586814880371e-05j),(-0.0019335895776748657+3.088265657424927e-05j),(-0.0019327551126480103+2.693384885787964e-05j),(-0.0019399523735046387+2.8595328330993652e-05j),(-0.0019244179129600525+3.445148468017578e-05j),(-0.00194588303565979+2.5212764739990234e-05j),(-0.00194549560546875+2.7507543563842773e-05j),(-0.0019349902868270874+3.120303153991699e-05j),(-0.0019328221678733826+4.0881335735321045e-05j),(-0.0019321814179420471+3.152340650558472e-05j),(-0.001936390995979309+3.8526952266693115e-05j),(-0.0019405260682106018+1.9297003746032715e-05j),(-0.0019378513097763062+3.5919249057769775e-05j),(-0.0019260048866271973+4.922598600387573e-05j),(-0.0019543468952178955+1.2032687664031982e-05j),(-0.0019408464431762695+3.604590892791748e-05j),(-0.001936197280883789+3.413110971450806e-05j),(-0.0019411668181419373+2.8461217880249023e-05j),(-0.0019354969263076782+4.16487455368042e-05j),(-0.0019397661089897156+3.222376108169556e-05j),(-0.0019448623061180115+3.075599670410156e-05j),(-0.001935429871082306+2.738088369369507e-05j),(-0.0019360706210136414+3.859400749206543e-05j),(-0.0019408464431762695+2.2858381271362305e-05j),(-0.0019452422857284546+1.4513731002807617e-05j)
155,(-0.0019484907388687134+2.08243727684021e-05j),(-0.0019545406103134155+1.8209218978881836e-05j),(-0.0019399523735046387+3.349781036376953e-05j),(-0.0019365176558494568+2.6300549507141113e-05j),(-0.0019468963146209717+2.267211675643921e-05j),(-0.001959696412086487+2.0250678062438965e-05j),(-0.001952439546585083+2.2098422050476074e-05j),(-0.0019377917051315308+3.127008676528931e-05j),(-0.0019388720393180847+2.9675662517547607e-05j),(-0.0019409731030464172+2.7768313884735107e-05j),(-0.001935623586177826+1.897662878036499e-05j),(-0.001935623586177826+3.8720667362213135e-05j),(-0.001948617398738861+3.069639205932617e-05j),(-0.0019368976354599+3.0182301998138428e-05j),(-0.001946769654750824+9.678304195404053e-06j),(-0.001946769654750824+2.9101967811584473e-05j),(-0.0019353032112121582+2.4959444999694824e-05j),(-0.0019467100501060486+2.4959444999694824e-05j),(-0.0019366443157196045+3.5278499126434326e-05j),(-0.001946769654750824+2.738088369369507e-05j),(-0.0019588693976402283+2.62334942817688e-05j),(-0.0019287467002868652+4.4129788875579834e-05j),(-0.0019374042749404907+2.8021633625030518e-05j),(-0.0019505247473716736+2.8848648071289062e-05j),(-0.0019432678818702698+2.11372971534729e-05j),(-0.001931615173816681+3.814697265625e-05j),(-0.001955747604370117+2.018362283706665e-05j),(-0.0019472166895866394+2.5920569896697998e-05j),(-0.0019407868385314941+3.30507755279541e-05j),(-0.0019319280982017517+2.578645944595337e-05j),(-0.0019530728459358215+1.9803643226623535e-05j)
156,(-0.001949124038219452+2.4899840354919434e-05j),(-0.0019359439611434937+3.349781036376953e-05j),(-0.001936390995979309+2.3558735847473145e-05j),(-0.0019337758421897888+2.133101224899292e-05j),(-0.001935429871082306+2.5659799575805664e-05j),(-0.0019361376762390137+2.298504114151001e-05j),(-0.001946769654750824+1.9297003746032715e-05j),(-0.00194568932056427+7.063150405883789e-06j),(-0.0019501447677612305+1.1846423149108887e-05j),(-0.0019379183650016785+1.1332333087921143e-05j),(-0.0019384920597076416+1.2546777725219727e-05j),(-0.0019529461860656738+1.8402934074401855e-06j),(-0.0019326955080032349+2.6173889636993408e-05j),(-0.001944415271282196+2.018362283706665e-05j),(-0.001953326165676117+1.2606382369995117e-05j),(-0.0019333288073539734+1.3820827007293701e-05j),(-0.0019391924142837524+1.662224531173706e-05j),(-0.0019403398036956787+2.6360154151916504e-05j),(-0.0019575953483581543+1.852959394454956e-05j),(-0.0019412264227867126+2.3752450942993164e-05j),(-0.0019328221678733826+2.547353506088257e-05j),(-0.0019459426403045654+2.578645944595337e-05j),(-0.0019473433494567871+2.62334942817688e-05j),(-0.0019492581486701965+1.3686716556549072e-05j),(-0.0019461959600448608+5.982816219329834e-06j),(-0.0019468963146209717+1.7508864402770996e-05j),(-0.0019568949937820435+1.8402934074401855e-05j),(-0.0019526928663253784+2.6047229766845703e-05j),(-0.0019627511501312256+7.897615432739258e-06j),(-0.0019735172390937805+4.708766937255859e-06j),(-0.0019684210419654846+1.73225998878479e-05j)
157,(-0.0019451826810836792+1.3306736946105957e-05j),(-0.0019503384828567505-4.716217517852783e-06j),(-0.0019289329648017883-4.209578037261963e-06j),(-0.001931607723236084+7.450580596923828e-06j),(-0.0019269585609436035+1.2665987014770508e-07j),(-0.0019352436065673828-5.2228569984436035e-06j),(-0.0019395723938941956+1.0132789611816406e-06j),(-0.0019384920597076416-5.863606929779053e-06j),(-0.0019282326102256775+1.2032687664031982e-05j),(-0.0019351765513420105+3.3080577850341797e-06j),(-0.00193072110414505+5.729496479034424e-06j),(-0.0019368976354599-1.7881393432617188e-06j),(-0.001923203468322754+1.9803643226623535e-05j),(-0.001923590898513794+1.0631978511810303e-05j),(-0.0019263923168182373+3.814697265625e-06j),(-0.0019254311919212341-2.168118953704834e-06j),(-0.0019313544034957886+1.3880431652069092e-05j),(-0.0019347965717315674+1.57281756401062e-05j),(-0.001950085163116455+1.833587884902954e-05j),(-0.0019554346799850464+1.623481512069702e-05j),(-0.0019529461860656738+1.3686716556549072e-05j),(-0.0019580423831939697+1.9162893295288086e-05j),(-0.0019580423831939697+4.8354268074035645e-06j),(-0.0019649863243103027+1.623481512069702e-05j),(-0.0019504651427268982+1.9997358322143555e-05j),(-0.001942947506904602+2.9996037483215332e-05j),(-0.001953713595867157+1.2733042240142822e-05j),(-0.001958295702934265+1.3560056686401367e-05j),(-0.0019460693001747131+3.439188003540039e-05j),(-0.0019556209444999695+1.3627111911773682e-05j),(-0.0019477903842926025+2.1710991859436035e-05j)
158,(-0.001957722008228302+1.2159347534179688e-05j),(-0.0019395723938941956+3.7550926208496094e-06j),(-0.0019333958625793457-6.757676601409912e-06j),(-0.0019181743264198303-5.356967449188232e-06j),(-0.00193052738904953-1.1019408702850342e-05j),(-0.0019398927688598633+2.4810433387756348e-06j),(-0.001931801438331604+6.332993507385254e-07j),(-0.0019142255187034607+1.2606382369995117e-05j),(-0.0019302070140838623-1.7210841178894043e-06j),(-0.001923777163028717+1.4327466487884521e-05j),(-0.0019337758421897888-1.914799213409424e-06j),(-0.0019290000200271606+1.7002224922180176e-05j),(-0.0019192546606063843+1.712888479232788e-05j),(-0.0019367039203643799+1.5869736671447754e-06j),(-0.0019353032112121582-6.496906280517578e-06j),(-0.0019309073686599731-9.179115295410156e-06j),(-0.0019293799996376038+1.4007091522216797e-06j),(-0.00194568932056427+2.3543834686279297e-06j),(-0.0019500181078910828+1.3813376426696777e-05j),(-0.001958228647708893+2.3752450942993164e-05j),(-0.0019414201378822327+2.9355287551879883e-05j),(-0.0019455626606941223+2.6106834411621094e-05j),(-0.0019507184624671936+1.846998929977417e-05j),(-0.0019586756825447083+1.833587884902954e-05j),(-0.0019603967666625977+2.987682819366455e-06j),(-0.0019492506980895996+2.158433198928833e-05j),(-0.0019519254565238953+2.0310282707214355e-05j),(-0.001967020332813263+4.395842552185059e-06j),(-0.0019424408674240112+2.0563602447509766e-05j),(-0.0019461363554000854+1.7002224922180176e-05j),(-0.0019516125321388245+1.668184995651245e-05j)
159,(-0.0019621849060058594-2.168118953704834e-06j),(-0.0019433945417404175-6.757676601409912e-06j),(-0.0019434615969657898-9.559094905853271e-06j),(-0.001944035291671753-1.9744038581848145e-05j),(-0.0019249245524406433-4.336237907409668e-06j),(-0.0019534602761268616+3.814697265625e-06j),(-0.0019430145621299744+2.2873282432556152e-06j),(-0.0019532665610313416-6.757676601409912e-06j),(-0.0019366443157196045+6.556510925292969e-06j),(-0.0019381046295166016+1.0251998901367188e-05j),(-0.001941099762916565+9.231269359588623e-06j),(-0.0019479840993881226+2.16066837310791e-06j),(-0.0019372180104255676+4.708766937255859e-06j),(-0.001944035291671753+7.897615432739258e-06j),(-0.0019324421882629395+7.763504981994629e-06j),(-0.0019320547580718994-4.336237907409668e-06j),(-0.0019382387399673462-9.432435035705566e-06j),(-0.0019452422857284546+3.7550926208496094e-06j),(-0.0019521191716194153+2.063065767288208e-05j),(-0.001969382166862488+1.6108155250549316e-05j),(-0.001960970461368561+7.636845111846924e-06j),(-0.001956835389137268+1.802295446395874e-05j),(-0.001944608986377716+2.8975307941436768e-05j),(-0.0019416138529777527+3.056973218917847e-05j),(-0.0019458159804344177+2.4959444999694824e-05j),(-0.0019485577940940857+1.3247132301330566e-05j),(-0.001948423683643341+1.4260411262512207e-05j),(-0.0019625648856163025+1.6301870346069336e-05j),(-0.0019461363554000854+4.582107067108154e-06j),(-0.0019577890634536743+4.708766937255859e-06j),(-0.0019407868385314941+1.7449259757995605e-05j)
